Municipi,Comarca,Altitud (m),Superfície (km²),Població
Abella de la Conca,Pallars Jussà,956,78,167
Abrera,Baix Llobregat,105,20,12697
Àger,Noguera,642,161,580
Agramunt,Urgell,337,80,5479
Aguilar de Segarra,Bages,480,43,287
Agullana,Alt Empordà,166,28,903
Aiguafreda,Vallès Oriental,404,8,2552
Aiguamúrcia,Alt Camp,314,73,961
Aiguaviva,Gironès,169,14,780
Aitona,Segrià,110,67,2521
Alamús,Segrià,212,21,781
Alàs i Cerc,Alt Urgell,768,58,329
Albagés,Garrigues,372,26,348
Albanyà,Alt Empordà,239,94,180
Albatàrrec,Segrià,147,11,2217
Albesa,Noguera,237,38,1579
Albi,Garrigues,526,33,755
Albinyana,Baix Penedès,198,19,2581
Albiol,Baix Camp,823,20,528
Albons,Baix Empordà,25,11,797
Alcanar,Montsià,72,47,9612
Alcanó,Segrià,214,21,240
Alcarràs,Segrià,137,114,9637
Alcoletge,Segrià,213,17,3470
Alcover,Alt Camp,243,46,5290
Aldea,Baix Ebre,9,35,4332
Aldover,Baix Ebre,14,20,862
Aleixar,Baix Camp,262,26,924
Alella,Maresme,90,10,79
Alfara de Carles,Baix Ebre,334,64,359
Alfarràs,Segrià,281,11,2795
Alfés,Segrià,236,32,
Alforja,Baix Camp,374,38,1928
Algerri,Noguera,345,54,422
Alguaire,Segrià,304,50,3040
Alins,Pallars Sobirà,1048,183,285
Alió,Alt Camp,263,7,496
Almacelles,Segrià,247,49,6922
Almatret,Segrià,462,57,302
Almenar,Segrià,329,67,3401
Almoster,Baix Camp,290,6,1334
Alòs de Balaguer,Noguera,297,69,121
Alp,Cerdanya,1158,44,1717
Alpens,Osona,855,14,281
Alpicat,Segrià,264,15,6333
Alt Àneu,Pallars Sobirà,1076,218,441
Altafulla,Tarragonès,52,7,5609
Amer,Selva,186,40,2422
Ametlla de Mar,Baix Ebre,19,67,7209
Ametlla del Vallès,Vallès Oriental,281,14,9020
Ampolla,Baix Ebre,8,36,3563
Amposta,Montsià,8,138,21807
Anglès,Selva,181,16,5682
Anglesola,Urgell,335,24,1350
Arbeca,Garrigues,332,58,2
Arboç,Baix Penedès,166,14,5604
Arbolí,Baix Camp,714,21,122
Arbúcies,Selva,291,86,6474
Arenys de Mar,Maresme,10,7,16155
Arenys de Munt,Maresme,121,21,9278
Argelaguer,Garrotxa,183,13,439
Argençola,Anoia,716,47,216
Argentera,Baix Camp,344,10,126
Argentona,Maresme,88,25,12745
Armentera,Alt Empordà,7,6,1043
Arnes,Terra Alta,506,43,448
Arres,Val d'Aran,1224,12,61
Arsèguel,Alt Urgell,950,11,80
Artés,Bages,316,18,5902
Artesa de Lleida,Segrià,202,24,1505
Artesa de Segre,Noguera,318,176,3470
Ascó,Ribera d'Ebre,70,74,1601
Aspa,Segrià,256,10,221
Avellanes i Santa Linya,Noguera,567,103,459
Avià,Berguedà,677,27,2237
Avinyó,Bages,353,63,2270
Avinyonet de Puigventós,Alt Empordà,70,12,1676
Avinyonet del Penedès,Alt Penedès,280,29,1706
Badalona,Barcelonès,6,21,223506
Badia del Vallès,Vallès Occidental,120,1,13163
Bagà,Berguedà,785,43,2167
Baix Pallars,Pallars Sobirà,591,129,345
Balaguer,Noguera,233,57,17460
Balenyà,Osona,587,17,3948
Balsareny,Bages,327,37,3249
Banyeres del Penedès,Baix Penedès,173,12,3271
Banyoles,Pla de l'Estany,172,11,20187
Barbens,Pla d'Urgell,283,8,979
Barberà de la Conca,Conca de Barberà,475,27,486
Barberà del Vallès,Vallès Occidental,146,8,33082
Barcelona,Barcelonès,9,101,1636193
Baronia de Rialb,Noguera,388,145,229
Bàscara,Alt Empordà,66,18,1034
Bassella,Alt Urgell,423,70,223
Batea,Terra Alta,376,128,1863
Bausen,Val d'Aran,931,18,66
Begues,Baix Llobregat,399,50,7450
Begur,Baix Empordà,200,21,4177
Belianes,Urgell,373,16,508
Bellaguarda,Garrigues,640,17,288
Bellcaire d'Empordà,Baix Empordà,35,13,713
Bellcaire d'Urgell,Noguera,267,31,1229
Bell-lloc d'Urgell,Pla d'Urgell,196,35,2342
Bellmunt d'Urgell,Noguera,379,5,178
Bellmunt del Priorat,Priorat,261,9,272
Bellprat,Anoia,653,31,74
Bellpuig,Urgell,308,35,5168
Bellvei,Baix Penedès,108,8,2346
Bellver de Cerdanya,Cerdanya,1061,98,2176
Bellvís,Pla d'Urgell,207,47,2243
Benavent de Segrià,Segrià,234,7,1563
Benifallet,Baix Ebre,19,62,739
Benissanet,Ribera d'Ebre,26,23,1169
Berga,Berguedà,704,23,16762
Besalú,Garrotxa,151,5,2480
Bescanó,Gironès,102,36,5156
Beuda,Garrotxa,338,36,202
Bigues i Riells del Fai,Vallès Oriental,307,29,9757
Biosca,Segarra,455,66,182
Bisbal d'Empordà,Baix Empordà,39,21,11163
Bisbal de Falset,Priorat,372,14,219
Bisbal del Penedès,Baix Penedès,189,33,4062
Biure,Alt Empordà,81,10,249
Blancafort,Conca de Barberà,428,15,394
Blanes,Selva,13,18,40579
Boadella i les Escaules,Alt Empordà,82,11,258
Bolvir,Cerdanya,1145,10,518
Bonastre,Baix Penedès,177,25,742
"Bòrdes, Es",Val d'Aran,852,21,282
Bordils,Gironès,42,7,1815
Borges Blanques,Garrigues,304,62,6248
Borges del Camp,Baix Camp,238,8,2148
Borrassà,Alt Empordà,73,10,776
Borredà,Berguedà,854,44,448
Bossòst,Val d'Aran,710,28,1121
Bot,Terra Alta,286,35,566
Botarell,Baix Camp,196,12,1102
Bovera,Garrigues,297,31,263
Bràfim,Alt Camp,236,6,687
Breda,Selva,169,5,3842
Bruc,Anoia,489,47,2218
Brull,Osona,843,41,278
Brunyola i Sant Martí Sapresa,Selva,247,37,388
Cabacés,Priorat,358,31,304
Cabanabona,Noguera,421,14,62
Cabanelles,Alt Empordà,194,56,279
Cabanes,Alt Empordà,26,15,949
Cabanyes,Alt Penedès,252,1,999
Cabó,Alt Urgell,768,80,98
Cabra del Camp,Alt Camp,493,27,1254
Cabrera d'Anoia,Anoia,299,17,1606
Cabrera de Mar,Maresme,104,9,4848
Cabrils,Maresme,147,7,7729
Cadaqués,Alt Empordà,23,26,2889
Calaf,Anoia,680,9,3590
Calafell,Baix Penedès,67,20,29102
Calders,Moianès,552,33,1101
Caldes d'Estrac,Maresme,33,1,3148
Caldes de Malavella,Selva,84,57,8196
Caldes de Montbui,Vallès Oriental,203,38,17932
Calella,Maresme,5,8,19363
Calldetenes,Osona,489,6,2532
Callús,Bages,260,13,2122
Calonge de Segarra,Anoia,688,37,195
Calonge i Sant Antoni,Baix Empordà,22,34,11712
Camarasa,Noguera,321,157,786
Camarles,Baix Ebre,13,25,3309
Cambrils,Baix Camp,24,35,35675
Camós,Pla de l'Estany,168,16,715
Campdevànol,Ripollès,738,33,3217
Campelles,Ripollès,1303,19,162
Campins,Vallès Oriental,321,7,557
Campllong,Gironès,113,9,535
Camprodon,Ripollès,947,103,2469
Canejan,Val d'Aran,906,48,92
Canet d'Adri,Gironès,217,44,750
Canet de Mar,Maresme,15,6,14845
Canonja,Tarragonès,50,7,5873
Canovelles,Vallès Oriental,175,7,16761
Cànoves i Samalús,Vallès Oriental,346,29,3289
Cantallops,Alt Empordà,200,20,330
Canyelles,Garraf,142,14,7
Capafonts,Baix Camp,751,13,121
Capçanes,Priorat,223,23,407
Capellades,Anoia,317,3,5344
Capmany,Alt Empordà,107,26,672
Capolat,Berguedà,1279,34,89
Cardedeu,Vallès Oriental,193,12,18785
Cardona,Bages,507,67,4575
Carme,Anoia,351,12,754
Caseres,Terra Alta,324,43,233
Cassà de la Selva,Gironès,137,45,10680
Casserres,Berguedà,611,30,1646
Castell de l'Areny,Berguedà,954,24,69
Castell de Mur,Pallars Jussà,532,62,171
Castellar de la Ribera,Solsonès,657,60,135
Castellar de n'Hug,Berguedà,1395,47,176
Castellar del Riu,Berguedà,920,33,175
Castellar del Vallès,Vallès Occidental,331,45,24933
Castellbell i el Vilar,Bages,178,29,3889
Castellbisbal,Vallès Occidental,132,31,12735
Castellcir,Moianès,773,34,778
Castelldans,Garrigues,353,65,895
Castelldefels,Baix Llobregat,3,13,67307
Castellet i la Gornal,Alt Penedès,137,48,2474
Castellfollit de la Roca,Garrotxa,296,1,926
Castellfollit de Riubregós,Anoia,467,26,159
Castellfollit del Boix,Bages,700,59,460
Castellgalí,Bages,266,17,2236
Castellnou de Bages,Bages,469,29,1431
Castellnou de Seana,Pla d'Urgell,269,16,715
Castelló d'Empúries,Alt Empordà,17,42,11611
Castelló de Farfanya,Noguera,358,53,508
Castellolí,Anoia,415,25,636
Castell-Platja d'Aro,Baix Empordà,5,22,11757
Castellserà,Urgell,267,16,961
Castellterçol,Moianès,726,32,2655
Castellvell del Camp,Baix Camp,219,5,2946
Castellví de la Marca,Alt Penedès,198,28,1614
Castellví de Rosanes,Baix Llobregat,178,16,2096
Catllar,Tarragonès,59,26,4921
Cava,Alt Urgell,1335,42,51
Cellera de Ter,Selva,166,15,1967
Celrà,Gironès,71,20,5503
Centelles,Osona,496,15,7641
Cercs,Berguedà,650,47,1169
Cerdanyola del Vallès,Vallès Occidental,82,31,57291
Cervelló,Baix Llobregat,122,24,9307
Cervera,Segarra,548,55,9393
Cervià de les Garrigues,Garrigues,444,34,642
Cervià de Ter,Gironès,45,10,999
Cistella,Alt Empordà,130,26,307
Ciutadilla,Urgell,519,17,190
Clariana de Cardener,Solsonès,500,41,162
Cogul,Garrigues,279,18,151
Colera,Alt Empordà,10,24,468
Coll de Nargó,Alt Urgell,573,151,548
Collbató,Baix Llobregat,388,18,4726
Colldejou,Baix Camp,431,15,172
Collsuspina,Moianès,901,15,398
Colomers,Baix Empordà,41,4,204
Coma i la Pedra,Solsonès,1004,61,278
Conca de Dalt,Pallars Jussà,507,167,427
Conesa,Conca de Barberà,705,29,109
Constantí,Tarragonès,81,31,6685
Copons,Anoia,432,19,333
Corbera d'Ebre,Terra Alta,337,53,993
Corbera de Llobregat,Baix Llobregat,342,18,15210
Corbins,Segrià,211,21,1462
Corçà,Baix Empordà,43,16,1268
Cornellà de Llobregat,Baix Llobregat,27,7,89039
Cornellà del Terri,Pla de l'Estany,96,28,2407
Cornudella de Montsant,Priorat,533,64,978
Creixell,Tarragonès,48,11,3981
Crespià,Pla de l'Estany,138,11,276
"Cruïlles, Monells i Sant Sadurní de l'Heura",Baix Empordà,110,100,1338
Cubelles,Garraf,12,14,16386
Cubells,Noguera,499,39,356
Cunit,Baix Penedès,10,10,14622
Darnius,Alt Empordà,193,35,535
Das,Cerdanya,1219,15,267
Deltebre,Baix Ebre,6,107,11656
Dosrius,Maresme,147,41,5710
Duesaigües,Baix Camp,268,14,232
Escala,Alt Empordà,14,16,10520
Esparreguera,Baix Llobregat,187,27,22365
Espinelves,Osona,752,17,248
Espluga Calba,Garrigues,434,22,331
Espluga de Francolí,Conca de Barberà,411,57,3698
Esplugues de Llobregat,Baix Llobregat,110,5,46414
Espolla,Alt Empordà,124,44,408
Esponellà,Pla de l'Estany,142,16,489
Espot,Pallars Sobirà,1318,97,377
Espunyola,Berguedà,803,36,265
Esquirol,Osona,693,62,2245
Estamariu,Alt Urgell,1084,21,128
Estany,Moianès,870,10,391
Estaràs,Segarra,596,21,169
Esterri d'Àneu,Pallars Sobirà,957,9,841
Esterri de Cardós,Pallars Sobirà,1212,17,62
Falset,Priorat,364,32,2740
Far d'Empordà,Alt Empordà,44,9,625
Farrera,Pallars Sobirà,1294,62,121
Fatarella,Terra Alta,487,57,891
Febró,Baix Camp,754,16,39
Figaró-Montmany,Vallès Oriental,330,15,1108
Fígols,Berguedà,1154,29,45
Fígols i Alinyà,Alt Urgell,602,102,266
Figuera,Priorat,576,19,123
Figueres,Alt Empordà,39,19,47088
Figuerola del Camp,Alt Camp,474,23,332
Flaçà,Gironès,34,7,1130
Flix,Ribera d'Ebre,47,117,3426
Floresta,Garrigues,316,6,154
Fogars de la Selva,Selva,45,32,1564
Fogars de Montclús,Vallès Oriental,386,40,493
Foixà,Baix Empordà,85,19,288
Folgueroles,Osona,552,11,2254
Fondarella,Pla d'Urgell,243,5,778
Fonollosa,Bages,525,52,1546
Fontanals de Cerdanya,Cerdanya,1180,29,533
Fontanilles,Baix Empordà,29,9,163
Fontcoberta,Pla de l'Estany,207,17,1466
Font-rubí,Alt Penedès,319,37,1446
Foradada,Noguera,455,29,191
Forallac,Baix Empordà,51,51,1765
Forès,Conca de Barberà,866,16,48
Fornells de la Selva,Gironès,102,12,2693
Fortià,Alt Empordà,8,11,778
Franqueses del Vallès,Vallès Oriental,181,29,20322
Freginals,Montsià,126,18,388
Fuliola,Urgell,275,11,1238
Fulleda,Garrigues,581,16,98
Gaià,Bages,481,40,179
Galera,Montsià,112,28,
Gallifa,Vallès Occidental,502,16,186
Gandesa,Terra Alta,363,71,3
Garcia,Ribera d'Ebre,73,52,527
Garidells,Alt Camp,132,3,196
Garriga,Vallès Oriental,252,19,16788
Garrigàs,Alt Empordà,101,20,458
Garrigoles,Baix Empordà,92,9,177
Garriguella,Alt Empordà,56,21,922
Gavà,Baix Llobregat,9,31,46974
Gavet de la Conca,Pallars Jussà,421,91,261
Gelida,Alt Penedès,196,27,7814
Ger,Cerdanya,1135,33,512
Gimenells i el Pla de la Font,Segrià,258,56,1109
Ginestar,Ribera d'Ebre,26,16,790
Girona,Gironès,70,39,102666
Gironella,Berguedà,469,7,4940
Gisclareny,Berguedà,1340,37,28
Godall,Montsià,168,34,609
Golmés,Pla d'Urgell,275,17,1893
Gombrèn,Ripollès,919,43,
Gósol,Berguedà,1423,56,233
Granada,Alt Penedès,272,7,2207
Granadella,Garrigues,528,89,724
Granera,Moianès,782,24,80
Granja d'Escarp,Segrià,78,39,923
Granollers,Vallès Oriental,145,15,61983
Granyanella,Segarra,508,24,136
Granyena de les Garrigues,Garrigues,366,21,147
Granyena de Segarra,Segarra,636,16,157
Gratallops,Priorat,321,14,236
Gualba,Vallès Oriental,177,23,1610
Gualta,Baix Empordà,15,9,439
Guardiola de Berguedà,Berguedà,720,62,918
Guiamets,Priorat,226,12,279
Guils de Cerdanya,Cerdanya,1385,22,573
Guimerà,Urgell,555,26,261
Guingueta d'Àneu,Pallars Sobirà,919,108,298
Guissona,Segarra,484,18,7390
Guixers,Solsonès,840,66,132
Gurb,Osona,516,52,2702
Horta de Sant Joan,Terra Alta,542,119,1154
Hospitalet de Llobregat,Barcelonès,8,12,265444
Hostalets de Pierola,Anoia,361,34,3127
Hostalric,Selva,189,3,4370
Igualada,Anoia,313,8,40767
Isona i Conca Dellà,Pallars Jussà,659,139,1057
Isòvol,Cerdanya,1088,11,318
Ivars d'Urgell,Pla d'Urgell,265,24,1560
Ivars de Noguera,Noguera,314,27,327
Ivorra,Segarra,567,15,
Jafre,Baix Empordà,44,7,386
Jonquera,Alt Empordà,110,57,3317
Jorba,Anoia,380,31,806
Josa i Tuixén,Alt Urgell,1206,68,105
Juià,Gironès,94,8,334
Juncosa,Garrigues,575,77,401
Juneda,Garrigues,264,47,3558
Les,Val d'Aran,634,24,970
Linyola,Pla d'Urgell,248,29,2723
Llacuna,Anoia,615,52,942
Lladó,Alt Empordà,197,14,827
Lladorre,Pallars Sobirà,1052,147,254
Lladurs,Solsonès,834,128,190
Llagosta,Vallès Oriental,45,3,13155
Llagostera,Gironès,160,76,9024
Llambilles,Gironès,143,15,731
Llanars,Ripollès,983,25,533
Llançà,Alt Empordà,4,28,4905
Llardecans,Segrià,397,66,421
Llavorsí,Pallars Sobirà,811,69,343
Lleida,Segrià,155,212,140797
Llers,Alt Empordà,142,21,1245
Lles de Cerdanya,Cerdanya,1471,103,286
Lliçà d'Amunt,Vallès Oriental,145,22,15801
Lliçà de Vall,Vallès Oriental,125,11,6760
Llimiana,Pallars Jussà,790,42,146
Llinars del Vallès,Vallès Oriental,198,28,10205
Llívia,Cerdanya,1224,13,1495
Lloar,Priorat,219,7,104
Llobera,Solsonès,855,39,202
Llorac,Conca de Barberà,648,23,96
Llorenç del Penedès,Baix Penedès,162,5,2393
Lloret de Mar,Selva,5,49,38941
Llosses,Ripollès,895,114,205
Lluçà,Osona,745,53,279
Maçanet de Cabrenys,Alt Empordà,370,68,724
Maçanet de la Selva,Selva,100,46,7572
Madremanya,Gironès,177,14,302
Maià de Montcal,Garrotxa,241,17,462
Maials,Segrià,395,57,911
Maldà,Urgell,428,31,234
Malgrat de Mar,Maresme,4,9,19093
Malla,Osona,580,11,272
Manlleu,Osona,461,17,20883
Manresa,Bages,238,42,77452
Marçà,Priorat,315,16,593
Margalef,Priorat,379,35,107
Marganell,Bages,291,14,282
Martorell,Baix Llobregat,56,13,28684
Martorelles,Vallès Oriental,96,4,4859
Mas de Barberans,Montsià,348,79,556
Masarac,Alt Empordà,85,13,294
Masdenverge,Montsià,54,15,1129
Masies de Roda,Osona,468,16,733
Masies de Voltregà,Osona,533,22,3133
Masllorenç,Baix Penedès,304,7,547
Masnou,Maresme,27,3,23829
Masó,Alt Camp,115,4,285
Maspujols,Baix Camp,214,4,859
Masquefa,Anoia,257,17,9744
Masroig,Priorat,192,16,479
Massalcoreig,Segrià,94,14,589
Massanes,Selva,164,26,825
Massoteres,Segarra,502,26,220
Matadepera,Vallès Occidental,423,25,9752
Mataró,Maresme,28,23,128956
Mediona,Alt Penedès,430,48,2517
Menàrguens,Noguera,205,20,774
Meranges,Cerdanya,1539,37,111
Mieres,Garrotxa,286,26,341
Milà,Alt Camp,166,4,189
Miralcamp,Pla d'Urgell,287,15,1364
Miravet,Ribera d'Ebre,43,32,682
Moià,Moianès,717,75,6548
Molar,Priorat,228,23,296
Molins de Rei,Baix Llobregat,37,16,26242
Mollerussa,Pla d'Urgell,250,7,14730
Mollet de Peralada,Alt Empordà,59,6,202
Mollet del Vallès,Vallès Oriental,65,11,51294
Molló,Ripollès,1182,43,365
Molsosa,Solsonès,667,27,99
Monistrol de Calders,Moianès,447,22,742
Monistrol de Montserrat,Bages,161,12,3166
Montagut i Oix,Garrotxa,276,94,958
Montblanc,Conca de Barberà,350,91,7410
Montbrió del Camp,Baix Camp,132,11,3073
Montcada i Reixac,Vallès Occidental,36,24,36666
Montclar,Berguedà,728,22,136
Montellà i Martinet,Cerdanya,967,55,615
Montesquiu,Osona,577,5,1059
Montferrer i Castellbò,Alt Urgell,732,177,1083
Montferri,Alt Camp,229,19,419
Montgai,Noguera,286,29,647
Montgat,Maresme,20,3,12277
Montmajor,Berguedà,756,77,484
Montmaneu,Anoia,709,14,166
Montmell,Baix Penedès,429,73,1863
Montmeló,Vallès Oriental,72,4,8793
Montoliu de Lleida,Segrià,166,7,494
Montoliu de Segarra,Segarra,689,30,180
Montornès de Segarra,Segarra,605,12,92
Montornès del Vallès,Vallès Oriental,116,10,16707
Mont-ral,Alt Camp,888,35,173
Mont-ras,Baix Empordà,88,12,1676
Mont-roig del Camp,Baix Camp,120,63,13101
Montseny,Vallès Oriental,528,27,370
Móra d'Ebre,Ribera d'Ebre,38,45,5585
Móra la Nova,Ribera d'Ebre,31,16,3198
Morell,Tarragonès,104,6,3803
Morera de Montsant,Priorat,743,53,160
Muntanyola,Osona,807,40,
Mura,Bages,454,48,232
Nalec,Urgell,487,9,95
Naut Aran,Val d'Aran,1267,256,1923
Navarcles,Bages,269,6,6067
Navàs,Bages,370,81,6018
Navata,Alt Empordà,145,19,1465
Navès,Solsonès,610,145,305
Nou de Berguedà,Berguedà,876,25,179
Nou de Gaià,Tarragonès,93,4,636
Nulles,Alt Camp,231,11,541
Odèn,Solsonès,1130,114,252
Òdena,Anoia,421,53,3728
Ogassa,Ripollès,951,45,222
Olèrdola,Alt Penedès,189,30,3884
Olesa de Bonesvalls,Alt Penedès,265,31,2016
