Municipi,Comarca,Altitud (m),Superfície (km²),Població,Longitud,Latitud
Abella de la Conca,Pallars Jussà,956,78,167.0,42.1615074,1.0919975
Abrera,Baix Llobregat,105,20,12697.0,41.5175266,1.9017802
Àger,Noguera,642,161,580.0,42.0007934,0.7610053
Agramunt,Urgell,337,80,5479.0,41.7871869,1.0979794
Aguilar de Segarra,Bages,480,43,287.0,41.7392097,1.627507
Agullana,Alt Empordà,166,28,903.0,42.393654,2.8458672
Aiguafreda,Vallès Oriental,404,8,2552.0,41.7831042,2.2679632
Aiguamúrcia,Alt Camp,314,73,961.0,41.3296224,1.3586793
Aiguaviva,Gironès,169,14,780.0,41.9376629,2.7620863
Aitona,Segrià,110,67,2521.0,41.4934916,0.4590823
Alamús,Segrià,212,21,781.0,41.6150242,0.7402123
Alàs i Cerc,Alt Urgell,768,58,329.0,42.3244874,1.5402327
Albagés,Garrigues,372,26,348.0,41.4470074,0.7408063
Albanyà,Alt Empordà,239,94,180.0,42.3047854,2.7204483
Albatàrrec,Segrià,147,11,2217.0,41.5733763,0.607391
Albesa,Noguera,237,38,1579.0,41.752541,0.6595184
Albi,Garrigues,526,33,755.0,41.4230658,0.9360877
Albinyana,Baix Penedès,198,19,2581.0,41.2449807,1.486239
Albiol,Baix Camp,823,20,528.0,41.2520305,1.0896014
Albons,Baix Empordà,25,11,797.0,42.1048463,3.08392
Alcanar,Montsià,72,47,9612.0,40.5430578,0.4767476
Alcanó,Segrià,214,21,240.0,41.4815016,0.6174558
Alcarràs,Segrià,137,114,9637.0,41.5632518,0.5244241
Alcoletge,Segrià,213,17,3470.0,41.647636,0.694722
Alcover,Alt Camp,243,46,5290.0,41.262476,1.1709847
Aldea,Baix Ebre,9,35,4332.0,40.7455735,0.6186663
Aldover,Baix Ebre,14,20,862.0,40.879942,0.4992069
Aleixar,Baix Camp,262,26,924.0,41.2010984,1.0457461
Alella,Maresme,90,10,79.0,41.4919653,2.2940817
Alfara de Carles,Baix Ebre,334,64,359.0,40.8469416,0.3654204
Alfarràs,Segrià,281,11,2795.0,41.830647,0.5687512
Alfés,Segrià,236,32,,41.5208628,0.6192322
Alforja,Baix Camp,374,38,1928.0,41.2066087,0.9533984
Algerri,Noguera,345,54,422.0,41.8148326,0.6381854
Alguaire,Segrià,304,50,3040.0,41.7367673,0.5849024
Alins,Pallars Sobirà,1048,183,285.0,42.5486199,1.3177031
Alió,Alt Camp,263,7,496.0,41.2985963,1.3035514
Almacelles,Segrià,247,49,6922.0,41.7286912,0.4419828
Almatret,Segrià,462,57,302.0,41.3057999,0.4237121
Almenar,Segrià,329,67,3401.0,41.7970523,0.5680948
Almoster,Baix Camp,290,6,1334.0,41.1970367,1.1107223
Alòs de Balaguer,Noguera,297,69,121.0,41.9126559,0.9600662
Alp,Cerdanya,1158,44,1717.0,42.3728449,1.886116
Alpens,Osona,855,14,281.0,42.1189496,2.1014619
Alpicat,Segrià,264,15,6333.0,41.669674,0.554149
Alt Àneu,Pallars Sobirà,1076,218,441.0,42.6830031,1.0777723
Altafulla,Tarragonès,52,7,5609.0,41.1408587,1.3776889
Amer,Selva,186,40,2422.0,42.0104174,2.6028036
Ametlla de Mar,Baix Ebre,19,67,7209.0,40.8839435,0.7996491
Ametlla del Vallès,Vallès Oriental,281,14,9020.0,41.6683251,2.2605005
Ampolla,Baix Ebre,8,36,3563.0,40.8123438,0.7071009
Amposta,Montsià,8,138,21807.0,40.7067997,0.5801695
Anglès,Selva,181,16,5682.0,41.9392441,2.6288523
Anglesola,Urgell,335,24,1350.0,41.6571914,1.0837613
Arbeca,Garrigues,332,58,2.0,41.5426212,0.9234723
Arboç,Baix Penedès,166,14,5604.0,41.2659877,1.6020337
Arbolí,Baix Camp,714,21,122.0,41.2426006,0.9487716
Arbúcies,Selva,291,86,6474.0,41.8165773,2.511129
Arenys de Mar,Maresme,10,7,16155.0,41.5783288,2.5346498
Arenys de Munt,Maresme,121,21,9278.0,41.6093683,2.5408414
Argelaguer,Garrotxa,183,13,439.0,42.2160996,2.6415719
Argençola,Anoia,716,47,216.0,41.598075,1.4437711
Argentera,Baix Camp,344,10,126.0,41.137506,0.9089424
Argentona,Maresme,88,25,12745.0,41.5531639,2.4008466
Armentera,Alt Empordà,7,6,1043.0,42.1717603,3.0738992
Arnes,Terra Alta,506,43,448.0,40.9110458,0.2614174
Arres,Val d'Aran,1224,12,61.0,42.7591538,0.7105267
Arsèguel,Alt Urgell,950,11,80.0,42.3500537,1.5829386
Artés,Bages,316,18,5902.0,41.796354,1.9514657
Artesa de Lleida,Segrià,202,24,1505.0,41.553054,0.7033745
Artesa de Segre,Noguera,318,176,3470.0,41.8956604,1.0472421
Ascó,Ribera d'Ebre,70,74,1601.0,41.1827575,0.5671571
Aspa,Segrià,256,10,221.0,41.4941193,0.6743076
Avellanes i Santa Linya,Noguera,567,103,459.0,41.9366402,0.810357
Avià,Berguedà,677,27,2237.0,42.0782101,1.8202649
Avinyó,Bages,353,63,2270.0,41.8641846,1.9724136
Avinyonet de Puigventós,Alt Empordà,70,12,1676.0,42.2505428,2.9119781
Avinyonet del Penedès,Alt Penedès,280,29,1706.0,41.3547538,1.7858092
Badalona,Barcelonès,6,21,223506.0,41.446964,2.2449607
Badia del Vallès,Vallès Occidental,120,1,13163.0,41.508052,2.1152932
Bagà,Berguedà,785,43,2167.0,42.25262,1.861711
Baix Pallars,Pallars Sobirà,591,129,345.0,42.3301006,1.0394635
Balaguer,Noguera,233,57,17460.0,41.7919281,0.8060409
Balenyà,Osona,587,17,3948.0,41.8240086,2.2089109
Balsareny,Bages,327,37,3249.0,41.8634562,1.8745219
Banyeres del Penedès,Baix Penedès,173,12,3271.0,41.2794548,1.5808175
Banyoles,Pla de l'Estany,172,11,20187.0,42.1181833,2.7651488
Barbens,Pla d'Urgell,283,8,979.0,41.6775914,1.016083
Barberà de la Conca,Conca de Barberà,475,27,486.0,41.4109456,1.2277556
Barberà del Vallès,Vallès Occidental,146,8,33082.0,41.5136208,2.1255553
Barcelona,Barcelonès,9,101,1636193.0,41.3873974,2.168568
Baronia de Rialb,Noguera,388,145,229.0,42.0126088,1.1929114
Bàscara,Alt Empordà,66,18,1034.0,42.1581166,2.9107298
Bassella,Alt Urgell,423,70,223.0,42.0169127,1.2958754
Batea,Terra Alta,376,128,1863.0,41.0937776,0.3119154
Bausen,Val d'Aran,931,18,66.0,42.8344383,0.7167588
Begues,Baix Llobregat,399,50,7450.0,41.3154028,1.900155
Begur,Baix Empordà,200,21,4177.0,41.9535511,3.2025608
Belianes,Urgell,373,16,508.0,41.5605304,1.0143426
Bellaguarda,Garrigues,640,17,288.0,41.3368343,0.736055
Bellcaire d'Empordà,Baix Empordà,35,13,713.0,42.0792042,3.0958224
Bellcaire d'Urgell,Noguera,267,31,1229.0,41.7583443,0.9044696
Bell-lloc d'Urgell,Pla d'Urgell,196,35,2342.0,41.6303438,0.7791283
Bellmunt d'Urgell,Noguera,379,5,178.0,41.7739942,0.9519708
Bellmunt del Priorat,Priorat,261,9,272.0,41.1636991,0.7654623
Bellprat,Anoia,653,31,74.0,41.5170582,1.4335027
Bellpuig,Urgell,308,35,5168.0,41.6254321,1.0119509
Bellvei,Baix Penedès,108,8,2346.0,41.2351212,1.5644578
Bellver de Cerdanya,Cerdanya,1061,98,2176.0,42.3728624,1.7749101
Bellvís,Pla d'Urgell,207,47,2243.0,41.6743299,0.8186873
Benavent de Segrià,Segrià,234,7,1563.0,41.697298,0.6328539
Benifallet,Baix Ebre,19,62,739.0,40.9733072,0.5169219
Benissanet,Ribera d'Ebre,26,23,1169.0,41.0584559,0.6340386
Berga,Berguedà,704,23,16762.0,42.1012595,1.8439221
Besalú,Garrotxa,151,5,2480.0,42.2002357,2.6953375
Bescanó,Gironès,102,36,5156.0,41.9657629,2.7400328
Beuda,Garrotxa,338,36,202.0,42.237315,2.7095744
Bigues i Riells del Fai,Vallès Oriental,307,29,9757.0,41.6960994,2.2003055
Biosca,Segarra,455,66,182.0,41.8418319,1.3580764
Bisbal d'Empordà,Baix Empordà,39,21,11163.0,41.9586483,3.0397887
Bisbal de Falset,Priorat,372,14,219.0,41.2806379,0.7225467
Bisbal del Penedès,Baix Penedès,189,33,4062.0,41.2794225,1.4887997
Biure,Alt Empordà,81,10,249.0,42.3380313,2.8954417
Blancafort,Conca de Barberà,428,15,394.0,41.4505405,1.1496969
Blanes,Selva,13,18,40579.0,41.6759954,2.7902289
Boadella i les Escaules,Alt Empordà,82,11,258.0,42.3304423,2.8565087
Bolvir,Cerdanya,1145,10,518.0,42.4179996,1.8798938
Bonastre,Baix Penedès,177,25,742.0,41.2210731,1.4399455
"Bòrdes, Es",Val d'Aran,852,21,282.0,42.7377242,0.7206173
Bordils,Gironès,42,7,1815.0,42.0388569,2.9169749
Borges Blanques,Garrigues,304,62,6248.0,41.5223705,0.8735607
Borges del Camp,Baix Camp,238,8,2148.0,41.1702125,1.0209204
Borrassà,Alt Empordà,73,10,776.0,42.2230901,2.9257107
Borredà,Berguedà,854,44,448.0,42.1347563,1.9939643
Bossòst,Val d'Aran,710,28,1121.0,42.7855045,0.6921325
Bot,Terra Alta,286,35,566.0,41.0092002,0.3849736
Botarell,Baix Camp,196,12,1102.0,41.1352694,0.9898346
Bovera,Garrigues,297,31,263.0,41.32613,0.6387778
Bràfim,Alt Camp,236,6,687.0,41.2693132,1.3408979
Breda,Selva,169,5,3842.0,41.7497057,2.5569436
Bruc,Anoia,489,47,2218.0,41.5805938,1.7799034
Brull,Osona,843,41,278.0,41.8168113,2.3054067
Brunyola i Sant Martí Sapresa,Selva,247,37,388.0,41.9045225,2.6841937
Cabacés,Priorat,358,31,304.0,41.24846,0.724773
Cabanabona,Noguera,421,14,62.0,41.8508626,1.2166383
Cabanelles,Alt Empordà,194,56,279.0,42.2303509,2.8200093
Cabanes,Alt Empordà,26,15,949.0,42.306365,2.9675572
Cabanyes,Alt Penedès,252,1,999.0,41.3719419,1.6888257
Cabó,Alt Urgell,768,80,98.0,42.2388889,1.2471427
Cabra del Camp,Alt Camp,493,27,1254.0,41.3954009,1.2758641
Cabrera d'Anoia,Anoia,299,17,1606.0,41.4936117,1.710095
Cabrera de Mar,Maresme,104,9,4848.0,41.5211753,2.4060513
Cabrils,Maresme,147,7,7729.0,41.5247306,2.3671032
Cadaqués,Alt Empordà,23,26,2889.0,42.2934281,3.2633918
Calaf,Anoia,680,9,3590.0,41.7325486,1.5135421
Calafell,Baix Penedès,67,20,29102.0,41.1938386,1.5664556
Calders,Moianès,552,33,1101.0,41.7900394,1.9936584
Caldes d'Estrac,Maresme,33,1,3148.0,41.5716858,2.5236717
Caldes de Malavella,Selva,84,57,8196.0,41.8360163,2.8084466
Caldes de Montbui,Vallès Oriental,203,38,17932.0,41.6316583,2.1668706
Calella,Maresme,5,8,19363.0,41.6134346,2.6535552
Calldetenes,Osona,489,6,2532.0,41.9250982,2.2840953
Callús,Bages,260,13,2122.0,41.7965959,1.7830973
Calonge de Segarra,Anoia,688,37,195.0,41.7626074,1.477615
Calonge i Sant Antoni,Baix Empordà,22,34,11712.0,41.8637896,3.0726468
Camarasa,Noguera,321,157,786.0,41.8745355,0.8774248
Camarles,Baix Ebre,13,25,3309.0,40.7709311,0.6690034
Cambrils,Baix Camp,24,35,35675.0,41.0666754,1.0603606
Camós,Pla de l'Estany,168,16,715.0,42.094148,2.7670699
Campdevànol,Ripollès,738,33,3217.0,42.2219838,2.1683571
Campelles,Ripollès,1303,19,162.0,42.2948623,2.1416484
Campins,Vallès Oriental,321,7,557.0,41.7250133,2.4639623
Campllong,Gironès,113,9,535.0,41.8937008,2.831922
Camprodon,Ripollès,947,103,2469.0,42.3136694,2.3651425
Canejan,Val d'Aran,906,48,92.0,42.8122428,0.8008388
Canet d'Adri,Gironès,217,44,750.0,42.0327715,2.7374949
Canet de Mar,Maresme,15,6,14845.0,41.5998437,2.5767694
Canonja,Tarragonès,50,7,5873.0,41.1209005,1.1803025
Canovelles,Vallès Oriental,175,7,16761.0,41.6187296,2.2770506
Cànoves i Samalús,Vallès Oriental,346,29,3289.0,41.6939748,2.3532739
Cantallops,Alt Empordà,200,20,330.0,42.4221088,2.9254799
Canyelles,Garraf,142,14,7.0,41.2829335,1.7230553
Capafonts,Baix Camp,751,13,121.0,41.2954255,1.0272002
Capçanes,Priorat,223,23,407.0,41.1006811,0.7821062
Capellades,Anoia,317,3,5344.0,41.5309648,1.685923
Capmany,Alt Empordà,107,26,672.0,42.366414,2.9275836
Capolat,Berguedà,1279,34,89.0,42.0831454,1.7548008
Cardedeu,Vallès Oriental,193,12,18785.0,41.6394024,2.3591531
Cardona,Bages,507,67,4575.0,41.913607,1.6797134
Carme,Anoia,351,12,754.0,41.5348511,1.6226538
Caseres,Terra Alta,324,43,233.0,41.0394453,0.2511497
Cassà de la Selva,Gironès,137,45,10680.0,41.8862532,2.8751691
Casserres,Berguedà,611,30,1646.0,42.0120819,1.8434162
Castell de l'Areny,Berguedà,954,24,69.0,42.1730883,1.9452014
Castell de Mur,Pallars Jussà,532,62,171.0,42.1046566,0.8579818
Castellar de la Ribera,Solsonès,657,60,135.0,42.0223125,1.4155391
Castellar de n'Hug,Berguedà,1395,47,176.0,42.2829512,2.0172181
Castellar del Riu,Berguedà,920,33,175.0,42.1206982,1.7626291
Castellar del Vallès,Vallès Occidental,331,45,24933.0,41.6172338,2.0873256
Castellbell i el Vilar,Bages,178,29,3889.0,41.6291032,1.8641519
Castellbisbal,Vallès Occidental,132,31,12735.0,41.482929,1.9869293
Castellcir,Moianès,773,34,778.0,41.7703577,2.1548473
Castelldans,Garrigues,353,65,895.0,41.4974858,0.7663538
Castelldefels,Baix Llobregat,3,13,67307.0,41.2800161,1.9766294
Castellet i la Gornal,Alt Penedès,137,48,2474.0,41.2535361,1.5925029
Castellfollit de la Roca,Garrotxa,296,1,926.0,42.219731,2.5488918
Castellfollit de Riubregós,Anoia,467,26,159.0,41.7758933,1.4379359
Castellfollit del Boix,Bages,700,59,460.0,41.6658732,1.6842693
Castellgalí,Bages,266,17,2236.0,41.6747239,1.8435319
Castellnou de Bages,Bages,469,29,1431.0,41.8343436,1.8367862
Castellnou de Seana,Pla d'Urgell,269,16,715.0,41.6479821,0.9704298
Castelló d'Empúries,Alt Empordà,17,42,11611.0,42.2604918,3.0738992
Castelló de Farfanya,Noguera,358,53,508.0,41.8174163,0.7265542
Castellolí,Anoia,415,25,636.0,41.598018,1.6997629
Castell-Platja d'Aro,Baix Empordà,5,22,11757.0,41.8144466,3.0321868
Castellserà,Urgell,267,16,961.0,41.7458448,0.9874443
Castellterçol,Moianès,726,32,2655.0,41.7503185,2.1199
Castellvell del Camp,Baix Camp,219,5,2946.0,41.187811,1.0897511
Castellví de la Marca,Alt Penedès,198,28,1614.0,41.3324427,1.5942571
Castellví de Rosanes,Baix Llobregat,178,16,2096.0,41.4500186,1.8995445
Catllar,Tarragonès,59,26,4921.0,41.1759037,1.3270397
Cava,Alt Urgell,1335,42,51.0,42.3252871,1.6055202
Cellera de Ter,Selva,166,15,1967.0,41.9685385,2.620788
Celrà,Gironès,71,20,5503.0,42.025748,2.8790408
Centelles,Osona,496,15,7641.0,41.7973754,2.2222269
Cercs,Berguedà,650,47,1169.0,42.1468742,1.8601862
Cerdanyola del Vallès,Vallès Occidental,82,31,57291.0,41.4900419,2.1396748
Cervelló,Baix Llobregat,122,24,9307.0,41.3896747,1.9539106
Cervera,Segarra,548,55,9393.0,41.671465,1.272254
Cervià de les Garrigues,Garrigues,444,34,642.0,41.4274049,0.8609602
Cervià de Ter,Gironès,45,10,999.0,42.0667654,2.9094816
Cistella,Alt Empordà,130,26,307.0,42.2684611,2.8480486
Ciutadilla,Urgell,519,17,190.0,41.5612352,1.1395
Clariana de Cardener,Solsonès,500,41,162.0,41.9331297,1.626142
Cogul,Garrigues,279,18,151.0,41.4673371,0.6897597
Colera,Alt Empordà,10,24,468.0,42.4004541,3.1277854
Coll de Nargó,Alt Urgell,573,151,548.0,42.1738219,1.3161974
Collbató,Baix Llobregat,388,18,4726.0,41.5644495,1.8147696
Colldejou,Baix Camp,431,15,172.0,41.0999205,0.8874775
Collsuspina,Moianès,901,15,398.0,41.8265144,2.1751135
Colomers,Baix Empordà,41,4,204.0,42.0845206,2.9881816
Coma i la Pedra,Solsonès,1004,61,278.0,42.175938,1.5886966
Conca de Dalt,Pallars Jussà,507,167,427.0,42.2121579,1.0011902
Conesa,Conca de Barberà,705,29,109.0,41.5181131,1.2912103
Constantí,Tarragonès,81,31,6685.0,41.1535458,1.212596
Copons,Anoia,432,19,333.0,41.6460892,1.5160212
Corbera d'Ebre,Terra Alta,337,53,993.0,41.0768503,0.4755993
Corbera de Llobregat,Baix Llobregat,342,18,15210.0,41.4202064,1.9245812
Corbins,Segrià,211,21,1462.0,41.6901038,0.6927257
Corçà,Baix Empordà,43,16,1268.0,41.9872589,3.0144382
Cornellà de Llobregat,Baix Llobregat,27,7,89039.0,41.3573827,2.0707159
Cornellà del Terri,Pla de l'Estany,96,28,2407.0,42.0891611,2.8160067
Cornudella de Montsant,Priorat,533,64,978.0,41.2671938,0.9152051
Creixell,Tarragonès,48,11,3981.0,41.1655007,1.4359781
